Method	k	dataset	nF	run	trainTime	testTime	MacroF1	microF1
RI	2	20newsgroups	2500	2	0.7313871384	0.0283639431	0.5300374732	0.5489704566
KRI	2	20newsgroups	2500	2	104.6704559	294.1492321	0.5041296191	0.5118626956
RI	2	20newsgroups	6000	2	0.8310639858	0.03354215622	0.5686986761	0.5880986419
KRI	2	20newsgroups	6000	2	50.12793207	132.8227429	0.5791727586	0.5929623963
RI	2	20newsgroups	7000	2	0.8331809044	0.02912092209	0.5762654612	0.5951002227
KRI	2	20newsgroups	7000	2	44.32273006	117.1735609	0.5934950104	0.6079674797
RI	2	20newsgroups	8000	2	0.8424429893	0.02767300606	0.579458009	0.5977524081
KRI	2	20newsgroups	8000	2	39.60487199	104.0487189	0.6014446476	0.6156386756
RI	2	20newsgroups	9000	2	0.8399369717	0.02610397339	0.5775020221	0.5975696926
KRI	2	20newsgroups	9000	2	35.81563687	93.52580595	0.603715685	0.6193129834
RI	2	20newsgroups	15000	2	0.9284250736	0.02976799011	0.5882212444	0.6088884946
KRI	2	20newsgroups	15000	2	24.38097	65.00667501	0.6102357718	0.6300806037
RI	2	20newsgroups	2500	3	0.7319579124	0.02237010002	0.5344542539	0.5530815818
KRI	2	20newsgroups	2500	3	105.7449219	290.986033	0.5078935207	0.5157151096
RI	2	20newsgroups	6000	3	0.8359379768	0.05459713936	0.5720556929	0.5917254937
KRI	2	20newsgroups	6000	3	50.62937498	133.111768	0.5854883566	0.59941757
RI	2	20newsgroups	7000	3	0.8451139927	0.03786492348	0.5752898783	0.5960371296
KRI	2	20newsgroups	7000	3	46.22653103	116.7153878	0.5951336101	0.6104352086
RI	2	20newsgroups	8000	3	0.8509609699	0.02441096306	0.5832792623	0.6030195382
KRI	2	20newsgroups	8000	3	40.91862416	104.489563	0.599668688	0.6151690025
RI	2	20newsgroups	9000	3	0.8424010277	0.02987194061	0.5795780351	0.5988459831
KRI	2	20newsgroups	9000	3	35.52804494	92.70498705	0.606554959	0.6216350124
RI	2	20newsgroups	15000	3	0.9328341484	0.03055000305	0.5873450126	0.6069333333
KRI	2	20newsgroups	15000	3	25.17798686	64.79847217	0.6071113462	0.6262817751
RI	2	20newsgroups	2500	4	0.7383999825	0.02221679688	0.5316093662	0.5499775483
KRI	2	20newsgroups	2500	4	104.8875248	292.5892131	0.5029888721	0.5124591355
RI	2	20newsgroups	6000	4	0.8551521301	0.02710390091	0.5707720599	0.5887515673
KRI	2	20newsgroups	6000	4	49.15492606	133.16698	0.5836593247	0.5966931431
RI	2	20newsgroups	7000	4	0.840788126	0.03262686729	0.5739070236	0.5931490922
KRI	2	20newsgroups	7000	4	43.53554106	116.2017069	0.5953778789	0.6096538114
RI	2	20newsgroups	8000	4	0.8537759781	0.02459001541	0.5819236247	0.60085303
KRI	2	20newsgroups	8000	4	39.61036396	103.5258729	0.5987607901	0.6130711394
RI	2	20newsgroups	9000	4	0.8422021866	0.03766083717	0.5750869122	0.5955277281
KRI	2	20newsgroups	9000	4	35.62864804	93.51265907	0.6024513245	0.6180942095
RI	2	20newsgroups	15000	4	0.9521639347	0.03075504303	0.5837001921	0.6027812444
KRI	2	20newsgroups	15000	4	24.7846992	64.11598897	0.6084306368	0.6278810727
RI	5	reuters21578	2500	0	3.26669693	0.1178061962	0.5602799928	0.8416249632
KRI	5	reuters21578	2500	0	1674.912334	2633.756102	0.5872845928	0.8379888268
RI	5	reuters21578	6000	0	3.365081072	0.145264864	0.5538031959	0.8466637207
KRI	5	reuters21578	6000	0	1888.43012	2754.580724	0.5884787628	0.8494375541
RI	5	reuters21578	7000	0	5.568331957	0.12575984	0.5601876955	0.8481721698
KRI	5	reuters21578	7000	0	1842.258671	2643.04333	0.581378545	0.8521839745
RI	5	reuters21578	8000	0	5.566144943	0.1322510242	0.5563979804	0.8509826929
KRI	5	reuters21578	8000	0	1811.865716	2510.777101	0.5910072775	0.8552101324
RI	5	reuters21578	9000	0	5.571253061	0.1379299164	0.56048097	0.8479953003
KRI	5	reuters21578	9000	0	1757.668737	2399.211325	0.5808642313	0.8514565907
RI	5	reuters21578	15000	0	5.770047188	0.1469449997	0.5578261948	0.8541331383
KRI	5	reuters21578	15000	0	1336.830882	1688.398906	0.5718912513	0.8564420719
RI	5	reuters21578	2500	1	5.161736965	0.114700079	0.5372192071	0.8317243428
KRI	5	reuters21578	2500	1	1682.471441	2645.534147	0.5694217131	0.8248227976
RI	5	reuters21578	6000	1	5.467381001	0.1245031357	0.557035131	0.8483956432
KRI	5	reuters21578	6000	1	1874.310424	2734.602856	0.5840208957	0.8512658228
RI	5	reuters21578	7000	1	3.363359928	0.1410989761	0.556787842	0.8465733235
KRI	5	reuters21578	7000	1	1856.614481	2648.58074	0.5860163763	0.8516017814
RI	5	reuters21578	8000	1	5.455425978	0.1284649372	0.5545907389	0.8456435206
KRI	5	reuters21578	8000	1	1827.406897	2533.904183	0.5847799545	0.8488708743
RI	5	reuters21578	9000	1	5.559616804	0.130906105	0.5604097226	0.8501834189
KRI	5	reuters21578	9000	1	1746.304036	2390.309276	0.5973086353	0.8499205547
RI	5	reuters21578	15000	1	5.556816101	0.1469609737	0.5598539095	0.8525311812
KRI	5	reuters21578	15000	1	1330.920688	1676.443492	0.5751007572	0.8576784427
RI	5	reuters21578	2500	2	5.160662174	0.1374089718	0.547984839	0.8345153664
KRI	5	reuters21578	2500	2	1672.041956	2647.860536	0.5724248995	0.828248102
RI	5	reuters21578	6000	2	5.461828947	0.1723351479	0.5620974931	0.8465717222
KRI	5	reuters21578	6000	2	1863.489025	2753.547218	0.584319851	0.8482322506
RI	5	reuters21578	7000	2	5.55979681	0.1621580124	0.5574105029	0.8471628592
KRI	5	reuters21578	7000	2	1839.924161	2640.314613	0.5949044116	0.8550014413
RI	5	reuters21578	8000	2	5.451334953	0.1315619946	0.5579387381	0.8464705882
